"ID","sex","native","blind","hours","job","income","education"
454,"male","native","no",40,"private",122112,"bachelor"
455,"female","native","no",NA,NA,19817,"high-school"
456,"male","foreign","no",50,"private",34812,"grade-school"
457,"female","native","no",NA,NA,22850,"high-school"
458,"male","native",NA,NA,NA,241621,"grade-school"
459,"male","foreign","no",40,"private",123939,"bachelor"
460,"female","native","no",NA,NA,17068,"grade-school"
461,"female","native","no",40,"private",15735,"high-school"
462,"female","native","no",NA,"private",18807,"high-school"
463,"male","native","no",NA,NA,15526,"high-school"
464,"female","native",NA,NA,NA,101112,"grade-school"
465,"female","native",NA,NA,NA,44384,"grade-school"
466,"female","native","no",NA,NA,46862,"high-school"
467,"male","native","no",50,"private",169765,"master"
468,"male","native",NA,NA,NA,1186208,"grade-school"
469,"male","native","no",NA,NA,3991,"grade-school"
470,"female","native",NA,NA,NA,101659,"grade-school"
471,"male","native","no",NA,NA,29635,"grade-school"
472,"male","native","no",NA,"private",25059,"grade-school"
473,"male","native","no",NA,NA,30668,"grade-school"
474,"female","foreign","no",NA,NA,47963,"grade-school"
475,"female","native","no",NA,NA,247255,"master"
476,"female","native","no",NA,NA,115437,"doctor"
477,"male","native",NA,NA,NA,66118,"grade-school"
478,"male","native","no",NA,"private",30256,"high-school"
479,"male","native","no",NA,NA,24307,"grade-school"
480,"female","native",NA,NA,NA,25950,"grade-school"
481,"female","native","no",20,"private",143893,"bachelor"
482,"female","native","no",38,"private",22257,"high-school"
483,"female","native",NA,NA,NA,56540,"grade-school"
484,"male","native","no",10,"private",110505,"bachelor"
485,"male","native","no",40,"private",234082,"master"
486,"female","native","no",NA,NA,2328,"high-school"
487,"female","native","no",NA,NA,85276,"high-school"
488,"female","native",NA,NA,NA,43158,"grade-school"
489,"female","native",NA,NA,NA,110804,"grade-school"
490,"male","native","no",NA,NA,41169,"high-school"
491,"female","foreign","no",40,"private",83826,"master"
492,"female","native",NA,NA,NA,118815,"grade-school"
493,"male","native","no",40,"private",420711,"master"
494,"female","native","no",50,"charity",108325,"master"
495,"male","native","no",10,"private",92744,"grade-school"
496,"male","native","no",NA,NA,65207,"grade-school"
497,"male","native","no",40,"private",29924,"high-school"
498,"female","foreign","no",40,"private",22158,"bachelor"
499,"female","native","no",NA,NA,518879,"high-school"
500,"male","native",NA,NA,NA,38491,"grade-school"
501,"female","native","no",40,"private",48834,"bachelor"
502,"male","native","no",40,"charity",202806,"doctor"
503,"female","native","no",NA,NA,103906,"high-school"
504,"female","native","no",NA,NA,33362,"high-school"
505,"male","native",NA,NA,NA,419721,"grade-school"
506,"male","native","no",NA,NA,250424,"master"
507,"male","native","no",40,"public",136984,"high-school"
508,"female","native",NA,NA,NA,41438,"grade-school"
509,"female","native","no",NA,NA,10372,"grade-school"
510,"male","native","no",NA,NA,72845,"high-school"
511,"male","native",NA,NA,NA,18244,"grade-school"
512,"male","native","no",NA,"private",120883,"master"
513,"male","native","no",20,"private",25990,"high-school"
514,"female","native",NA,NA,NA,39188,"grade-school"
515,"male","native","no",16,"private",126111,"grade-school"
516,"female","native","no",NA,NA,9146,"high-school"
517,"female","native","no",8,"private",83841,"bachelor"
518,"male","native","no",NA,NA,15395,"bachelor"
519,"male","native","no",40,"private",116684,"grade-school"
520,"female","native","no",NA,NA,24616,"master"
521,"female","native","no",NA,NA,1894,"high-school"
522,"female","native","no",40,"private",104527,"bachelor"
523,"female","native","no",NA,NA,104654,"high-school"
524,"female","native","no",NA,NA,32388,"high-school"
525,"male","native","no",NA,NA,68083,"grade-school"
526,"female","foreign","no",NA,NA,69250,"master"
527,"male","native","no",40,"public",573800,"bachelor"
528,"male","native",NA,NA,NA,137123,"grade-school"
529,"female","native",NA,NA,NA,55635,"grade-school"
530,"male","native",NA,NA,NA,3827,"grade-school"
531,"male","native","no",NA,NA,49102,"high-school"
532,"female","native","no",55,"public",119148,"doctor"
533,"male","native","no",40,"private",843225,"high-school"
534,"female","native","no",NA,NA,0,"grade-school"
535,"male","foreign","no",NA,NA,123790,"high-school"
536,"male","native","no",40,"private",145509,"high-school"
537,"female","native","no",NA,NA,18921,"high-school"
538,"female","native",NA,NA,NA,77103,"grade-school"
539,"male","native","no",NA,"private",78662,"high-school"
540,"female","native","yes",NA,NA,12914,"high-school"
541,"female","native",NA,NA,NA,100450,"grade-school"
542,"male","native","yes",NA,NA,21637,"high-school"
543,"female","native","no",40,"public",18733,"high-school"
544,"male","native","no",40,"private",44073,"high-school"
545,"female","native","no",NA,NA,782004,"high-school"
546,"male","foreign","no",40,"private",56633,"high-school"
547,"male","native",NA,NA,NA,47009,"grade-school"
548,"female","native","no",NA,NA,0,"high-school"
549,"male","native","yes",NA,NA,67409,"master"
550,"female","native","no",NA,NA,107925,"bachelor"
551,"male","native","no",40,"private",93029,"high-school"
552,"female","native","no",NA,NA,26532,"grade-school"
553,"male","native",NA,NA,NA,57006,"grade-school"
554,"male","native","no",50,"private",398157,"master"
555,"female","native","no",40,"charity",137609,"bachelor"
556,"female","native","no",20,"private",44191,"high-school"
557,"female","native","no",40,"private",22048,"high-school"
558,"female","native",NA,NA,NA,569404,"grade-school"
559,"female","native","no",40,"private",589712,"high-school"
560,"female","native","no",NA,NA,34958,"bachelor"
561,"male","native",NA,NA,NA,10699,"grade-school"
562,"female","foreign","no",NA,NA,16897,"high-school"
563,"female","native","no",NA,NA,8807,"grade-school"
564,"female","native",NA,NA,NA,106276,"grade-school"
565,"male","native","no",40,"private",528148,"doctor"
566,"male","native","no",40,"charity",68502,"bachelor"
567,"male","native","no",40,"private",31989,"bachelor"
568,"female","native","no",40,"charity",37348,"high-school"
569,"female","native","no",NA,NA,5551,"high-school"
570,"male","native","no",NA,NA,136349,"grade-school"
571,"male","native","no",NA,NA,16659,"high-school"
572,"female","native",NA,NA,NA,29165,"grade-school"
